YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YNL339C,0.386,0.076,0.1735,0.5915,0.0945,0.7705,0.364,-0.1964
YLR014C,-0.324,-1.436,-1.421,-0.822,-1.0,-0.6515,-0.064,0.276
YPL018W,2.734,2.004,1.897,3.3314,2.262,2.73,0.876,0.35
YLR356W,0.499,2.147,2.487,-0.834,1.967,2.031,0.795,0.248
YIL156W,0.152,0.7595,0.723,0.629,0.641,0.1537,0.103,0.0865
YKL100C,0.68,1.127,1.856,1.595,1.491,0.542,0.089,-0.056
YLR281C,1.3755,1.553,1.152,1.7945,0.561,0.0185,-0.664,-0.4326
YIL165C,0.564,0.905,0.2315,0.2475,0.035,0.1215,-0.238,-0.6555
YKL110C,-0.226,-1.126,-1.422,-1.249,-1.368,-1.614,-0.398,-0.133
YKL180W,-0.087,-0.855,-1.731,-1.949,-1.947,-1.228,-0.509,-0.357
YDL080C,0.171,-0.18,-0.092,-0.088,0.318,0.271,0.431,0.029
YPL131W,-0.499,-0.628,-1.392,-0.2803,-2.406,-1.327,-0.987,-0.939
YDR359C,-0.111,-0.0265,0.18,0.7205,0.44,0.2145,0.218,0.3045
YER104W,-0.161,-0.058,0.138,-0.5339,-0.637,-0.415,-0.37,-0.278
YBL056W,0.092,0.446,0.681,0.578,0.253,0.103,-0.369,-0.124
YBR194W,-0.189,0.679,0.176,0.17,0.042,-0.098,0.195,0.328
YOL112W,-0.251,0.012,-0.487,1.431,-0.383,0.04,0.147,-0.276
YML034W,0.35,-0.129,0.138,0.265,0.198,-0.457,-0.341,0.233
YHR061C,-0.5075,0.166,-0.148,-0.7065,-1.074,-0.0705,-0.0315,-0.3545
YKL123W,0.702,1.325,1.027,0.788,0.592,0.573,0.237,0.243
YNL202W,0.863,1.384,0.237,0.746,0.215,0.126,-0.123,-0.663
YEL043W,0.496,0.675,-0.078,-0.103,-0.709,-0.034,-0.194,-0.293
YFL046W,0.076,0.166,-0.141,-0.076,0.093,-0.597,0.175,0.15
YJL016W,1.229,2.556,1.6035,1.832,1.1305,1.301,-0.216,-0.087
YKR059W,0.045,-0.694,-1.004,-1.674,-1.265,-1.483,-0.494,-0.37
YIR032C,0.888,0.9043,0.048,1.0211,0.065,-0.2913,0.3567,-2.8963
YOL038W,-0.19,0.877,0.622,0.696,0.276,0.562,0.139,0.248
YIL126W,0.7103,0.288,-0.545,-0.0187,-0.092,-0.43,-0.0927,-0.556
YOR268C,2.528,2.428,0.4997,-0.976,0.324,0.0,-0.907,-0.2535
YHR131C,-0.2365,-0.072,0.766,-0.673,0.416,-0.0965,-0.1305,-0.258
YLL058W,0.348,1.057,1.182,0.749,0.333,2.106,0.713,0.327
YDR378C,-0.237,-0.081,-0.405,-0.226,-0.203,-0.176,-0.228,-0.065
YBL023C,-0.099,-0.66,-0.088,-0.342,-0.011,0.356,0.054,0.156
YOL103W,-0.829,-0.943,-0.785,0.938,-1.079,-0.799,-0.562,-0.671
YIL077C,1.0635,1.334,1.4055,1.4385,1.1385,0.372,0.1055,0.279
YCR086W,-0.276,0.333,-0.316,-0.259,-0.323,-0.235,0.683,0.682
YNL185C,-0.286,0.48,0.555,0.391,0.265,0.474,-0.156,-0.207
YNL242W,1.082,0.54,2.542,1.4,0.729,1.02,-0.108,1.512
YJL185C,0.4015,1.414,0.475,0.9745,0.768,0.9445,0.199,0.288
YNL190W,-0.298,-0.165,-0.363,-1.013,-1.345,-0.034,-0.612,0.776
YIR042C,-0.33,0.2855,1.016,-0.118,-0.289,-0.0545,0.0365,0.0595
YEL060C,1.984,2.738,3.374,3.406,3.278,2.322,1.31,1.147
YGL128C,-0.144,0.042,0.228,0.209,0.109,0.188,-0.014,-0.595
YDR330W,0.618,0.629,1.568,3.932,1.431,0.649,0.528,0.245
YLR012C,1.11,1.12,-0.023,0.46,0.509,0.0217,-0.084,-1.503
YHR088W,-1.581,-2.3875,-5.1145,-5.3925,-4.6805,-1.854,-0.536,-0.4905
YKL190W,0.168,0.629,0.376,0.594,0.424,-0.288,0.288,0.268
YOL053W,1.473,2.268,1.731,1.907,1.423,0.96,0.767,0.971
YAL048C,0.288,-0.085,0.083,0.472,0.389,0.42,0.139,-0.237
YDL085W,1.237,1.692,2.095,1.487,1.891,1.17,0.0,-0.787
YKL047W,-0.037,-0.5955,0.156,-0.373,-0.477,-0.7435,-0.0945,-0.192
YDR382W,-0.014,-0.513,-1.235,-2.072,-1.706,-1.29,-0.753,-0.703
YBR240C,0.418,1.108,0.493,-0.688,-0.159,0.25,0.143,-0.421
YDR545W,-0.0765,0.2315,0.2525,0.865,-0.263,0.2125,0.059,-0.2845
YDL062W,-1.417,-2.058,-3.223,-3.007,-2.714,-1.458,-1.215,-0.592
YOL099C,0.816,1.16,0.706,0.42,0.641,0.599,0.215,0.08
YNL175C,-0.457,-2.67,-5.334,-4.914,-4.901,-2.739,-0.991,-0.513
YNR027W,-0.378,0.117,-0.673,-0.743,-0.482,-1.322,-0.387,-0.558
YDR396W,-0.697,-0.799,-1.231,-0.993,-0.969,-0.831,-0.532,-0.292
YAL051W,2.4205,1.7861,1.1742,1.758,2.0225,2.052,1.597,0.664
YHR218W,-0.3755,-1.205,-0.3555,-1.474,-0.647,0.4615,0.2015,-0.1555
YGL201C,-0.082,-0.358,-0.092,-0.167,-0.269,0.0,-0.472,-0.258
YNL201C,-0.203,-0.882,-0.568,-0.411,-0.087,-0.136,0.123,-0.3
YDR466W,0.296,-0.05,0.513,0.511,0.477,-0.254,0.137,0.112
YNL013C,-0.149,0.621,0.279,0.425,-0.521,-0.7,-0.666,-0.901
YDR053W,0.019,0.139,-0.478,1.829,-0.818,-0.682,-0.185,-0.592
YJR058C,-0.032,0.771,1.22,0.105,-0.4195,-0.4925,-0.218,-0.175
YCL016C,-0.26,-0.126,-0.285,-0.305,-0.372,-0.299,0.005,0.129
YLR385C,-1.108,-1.278,-2.072,-1.661,-1.536,-0.699,-0.3,-0.594
YNL289W,0.2015,1.216,0.3705,1.0715,0.721,-0.528,0.1305,-0.187
